Account,Asset,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-10-16
Chase,Cash,,,,,,,,,,,,,,,,,,Opened,0,0
First Direct,Cash,,,,,,,,,,,,,,,Opened,1000,0,0,0,0
Revolut,Cash,200,200,20,0,0,0,0,0,0,0,0,0,24.309999999999999,168.22,0,0,0,0,0,0
Starling,Cash,5482.71,4873.8800000000001,2053.2800000000002,1492.01,1250.0599999999999,1242.3800000000001,1250.04,518.49000000000001,857.26999999999998,128.83000000000001,37.25,754.97000000000003,1365.29,880.37,1025.21,1042.54,1000.04,750,891.86000000000001,891.86000000000001
VM Current,Cash,,,,,,,,,Opened,4608.5799999999999,174.38,160.25,6516.4300000000003,143.63999999999999,1973.3299999999999,1651.5599999999999,2640.04,2551.6999999999998,2651.54,2651.54
NatWest,Cash,,,,,,,Opened,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,Cash,,,,,,Opened,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curve Cashback,Cash,19.170000000000002,19.170000000000002,19.170000000000002,No longer allowing to build,,,,,,,,,,,,,,,,
Paypal,Cash,0,0,0,No longer allowing to build,,,,,,,,,,,,,,,,
Halifax,Cash,300,100,0,0,0,0,Closed,,,,,,,,,,,,,
TSB,Cash,1139.74,939.25,1134.5599999999999,1537.6199999999999,966.60000000000002,907.72000000000003,1154.28,0,896.04999999999995,Closed,,,,,,,,,,
NatWest Digital Saver,Cash,,,,,,,Opened,100.11,150.34999999999999,200.77000000000001,251.22999999999999,301.81,352.57999999999998,403.54000000000002,454.47000000000003,505.58999999999997,556.91999999999996,608.28999999999996,659.78999999999996,659.78999999999996
Premium Bonds,Cash,Opened,200,1000,1907,3025,3883,4233,4583,4583,670,670,670,670,1872,1,1,1,1,1,1
RBS Digital Saver,Cash,,,,,,,,,Opened,100.09,150.31999999999999,200.66999999999999,251.18000000000001,301.86000000000001,352.56,403.43000000000001,454.49000000000001,505.61000000000001,556.86000000000001,556.86000000000001
VM Instant Savings,Cash,,,,,,,,,Opened,1000,0,0,0.070000000000000007,0,0,0,0,0,0,0
Nationwide Flex,Cash,Opened,0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,846,1.4199999999999999,0,Closed,,,,
Halifax HISA,Cash,9915.4099999999999,10115.41,10315.41,6315.4099999999999,Closed,,,,,,,,,,,,,,,
Marcus GS,Cash,15878.469999999999,744.38999999999999,0,0,0,Closed,,,,,,,,,,,,,,
TSB Monthly Saver,Cash,3000,3250,Closed,,,,,,,,,,,,,,,,,
Virgin Money Cash ISA,Cash,17842.639999999999,17842.639999999999,17842.639999999999,Closed,,,,,,,,,,,,,,,,
YBS Savings A/C,Cash,4.04,4.04,4.04,Closed,,,,,,,,,,,,,,,,
Amazon Platinum,Credit,,,,,Opened,-16.670000000000002,-910.23000000000002,-87.989999999999995,-452.89999999999998,-292.23000000000002,0,0,0,0,-32.490000000000002,0,0,0,0,0
Nationwide 0%,Credit,Opened,0,-1647.78,-3016.21,-3995.71,-4218.5200000000004,-4176.3400000000001,-4134.5799999999999,-4093.2399999999998,-4052.3099999999999,-4011.79,-3971.6799999999998,-3931.9699999999998,-3892.6599999999999,-2058.7399999999998,0,0,0,0,0
RBS Credit,Credit,,,,,,,,,,,,,,,,,Opened,-59.969999999999999,-754.65999999999997,-754.65999999999997
TSB Platinum,Credit,,,,,,,,,Opened,-330.27999999999997,-1274.49,-1480.6400000000001,-1943.6500000000001,-1924.9000000000001,-2467.77,-4007.3899999999999,-3980.9699999999998,-4147.5900000000001,-4108.1800000000003,-4108.1800000000003
Sainsbury's 0%,Credit,-4429.21,-4459.8699999999999,-4589.8599999999997,-4486.5900000000001,-4385.6400000000003,-4286.96,-4190.5,-4096.21,-4004.0500000000002,-3913.96,0,0,0,0,Closed,,,,,
Halifax Clarity,Credit,0,0,0,0,0,0,Closed,,,,,,,,,,,,,
Tandem,Credit,-1687.6700000000001,Closed,,,,,,,,,,,,,,,,,,
Binance,Crypto,,,,,,,,,,Opened,73.280000000000001,210.78999999999999,225.12,430.47000000000003,342.81,269.08999999999997,302.44,486.62,415.51999999999998,457.19999999999999
BlockFi,Crypto,,,,,,,,,,Opened,139.31999999999999,179.61000000000001,221.27000000000001,278.08999999999997,204.93000000000001,180.63999999999999,221.69999999999999,282.54000000000002,254.63,329.13
Coinbase,Crypto,,,,,,,,,,Opened,27.289999999999999,44.469999999999999,53.229999999999997,61,37.090000000000003,31,34.799999999999997,59.979999999999997,88.530000000000001,84.569999999999993
Crypto.com,Crypto,,,,,,,,,,Opened,131.33000000000001,316.47000000000003,463.44,400.57999999999998,246.47,237.18000000000001,271.04000000000002,325.81,339.06999999999999,395.81999999999999
Invictus Capital,Crypto,,,,,,,,,,,,,,,,,,,Opened,19.66
Nexo,Crypto,,,,,,,,,,Opened,67.459999999999994,83.459999999999994,94.159999999999997,174.91,119.23,83.909999999999997,93.980000000000004,130.66999999999999,106.16,132.31
Zumo,Crypto,,,,,,,,,,Opened,20.399999999999999,Closed,,,,,,,,
AJ Bell Dealing Account,Cash,,,,,,,,,,,,,Opened,20,17.84,15.74,13.24,10.69,8,6.21
Freetrade,Liquid Assets,,,,,,Opened,19.16,353.54000000000002,586.47000000000003,633.03999999999996,883.03999999999996,866.03999999999996,809.03999999999996,814.15999999999997,788.13999999999999,881.49000000000001,877.25,916.29999999999995,888.04999999999995,883.85000000000002
Trading 212,Liquid Assets,,,,,,,,,,Opened,204.16999999999999,111.91,104.68000000000001,110.02,109.28,109.45999999999999,108.39,104.56999999999999,99.049999999999997,96.599999999999994
iWeb ISA,Liquid Assets,,,,,,,,,Opened,0,0,0,0,16166.1,15925.16,100472.82000000001,100432.31,102696.11,102695.11,102740.75
Vanguard General,Liquid Assets,,Opened,10596.469999999999,14827.530000000001,14789.389999999999,18307.040000000001,21436.259999999998,23830.650000000001,32142.740000000002,39483.010000000002,40524.43,42152.68,43855.540000000001,30617.720000000001,35954.529999999999,40248.620000000003,41660.879999999997,52212.849999999999,55299.410000000003,56670.540000000001
Orca,Liquid Assets,,,,,,,,,,Opened,7.1299999999999999,6.4000000000000004,4.5899999999999999,4.7800000000000002,5.2199999999999998,5.4400000000000004,5.8899999999999997,Closed,,
